cpf,nome,pais
12345678901,João Silva,Brasil
23456789012,Maria Oliveira,Argentina
34567890123,Carlos Souza,Chile
45678901234,Ana Costa,Uruguai
56789012345,Pedro Santos,Paraguai
67890123456,Juliana Lima,Peru
78901234567,Fernanda Rocha,Colômbia
89012345678,Ricardo Alves,México
90123456789,Patrícia Gomes,Brasil
11223344556,Lucas Martins,Portugal
22334455667,Camila Ferreira,Espanha
33445566778,Bruno Ribeiro,Itália
44556677889,Larissa Carvalho,França
55667788990,Gabriel Pereira,Alemanha
66778899001,Amanda Barbosa,Canadá
77889900112,Thiago Melo,Estados Unidos
88990011223,Beatriz Castro,Japão
99001122334,Eduardo Nunes,Coreia do Sul
10111213141,Vanessa Teixeira,Austrália
20212223242,Felipe Moreira,Nova Zelândia
12345678911,John Doe,Brasil
12312312332,Caio Pedro,Portugal
76919010499,Caio Pedro,Portugal
45631457145,Caio Pedro,Portugal
12806795613,Caio Pedro,Portugal
59232684341,Caio Pedro,Portugal
52546709461,Caio Pedro,Portugal
41205680887,Caio Pedro,Portugal
94473525410,Caio Pedro,Portugal
